Remove useless text ...
accesswff : "Mnemonics: " removed
accesswff : "Characteristic: " removed
accesswff : "Variable type: " removed
accesswff : "Default is " removed
accuracy : "Mnemonics: " removed
accuracy : "Characteristic: " removed
accuracy : "Variable type: " removed
accuracy : "Default is " removed
acell : "Mnemonics: " removed
acell : "Characteristic: " removed
acell : "Variable type: " removed
acell : "Default is " removed
adpimd : "Mnemonics: " removed
adpimd : "Characteristic: " removed
adpimd : "Variable type: " removed
adpimd : "Default is " removed
adpimd_gamma : "Mnemonics: " removed
adpimd_gamma : "Characteristic: " removed
adpimd_gamma : "Variable type: " removed
adpimd_gamma : "Default is " removed
algalch : "Mnemonics: " removed
algalch : "Characteristic: " removed
algalch : "Variable type: " removed
algalch : "Default is " removed
amu : "Mnemonics: " removed
amu : "Characteristic: " removed
amu : "Variable type: " removed
amu : "Default is " removed
angdeg : "Mnemonics: " removed
angdeg : "Characteristic: " removed
angdeg : "Variable type: " removed
angdeg : "Default is " removed
atvshift : "Mnemonics: " removed
atvshift : "Characteristic: " removed
atvshift : "Variable type: " removed
atvshift : "Default is " removed
autoparal : "Mnemonics: " removed
autoparal : "Characteristic: " removed
autoparal : "Variable type: " removed
autoparal : "Default is " removed
awtr : "Mnemonics: " removed
awtr : "Characteristic: " removed
awtr : "Variable type: " removed
awtr : "Default is " removed
bandpp : "Mnemonics: " removed
bandpp : "Characteristic: " removed
bandpp : "Variable type: " removed
bandpp : "Default is " removed
bdberry : "Mnemonics: " removed
bdberry : "Characteristic: " removed
bdberry : "Variable type: " removed
bdberry : "Default is " removed
bdeigrf : "Mnemonics: " removed
bdeigrf : "Characteristic: " removed
bdeigrf : "Variable type: " removed
bdeigrf : "Default is " removed
bdgw : "Mnemonics: " removed
bdgw : "Characteristic: " removed
bdgw : "Variable type: " removed
bdgw : "Default is " removed
berryopt : "Mnemonics: " removed
berryopt : "Characteristic: " removed
berryopt : "Variable type: " removed
berryopt : "Default is " removed
berrysav : "Mnemonics: " removed
berrysav : "Characteristic: " removed
berrysav : "Variable type: " removed
berrysav : "Default is " removed
berrystep : "Mnemonics: " removed
berrystep : "Characteristic: " removed
berrystep : "Variable type: " removed
berrystep : "Default is " removed
bfield : "Mnemonics: " removed
bfield : "Characteristic: " removed
bfield : "Variable type: " removed
bfield : "Default is " removed
bmass : "Mnemonics: " removed
bmass : "Characteristic: " removed
bmass : "Variable type: " removed
bmass : "Default is " removed
boxcenter : "Mnemonics: " removed
boxcenter : "Characteristic: " removed
boxcenter : "Variable type: " removed
boxcenter : "Default is " removed
boxcutmin : "Mnemonics: " removed
boxcutmin : "Characteristic: " removed
boxcutmin : "Variable type: " removed
boxcutmin : "Default is " removed
brvltt : "Mnemonics: " removed
brvltt : "Characteristic: " removed
brvltt : "Variable type: " removed
brvltt : "Default is " removed
bs_algorithm : "Mnemonics: " removed
bs_algorithm : "Characteristic: " removed
bs_algorithm : "Variable type: " removed
bs_algorithm : "Default is " removed
bs_calctype : "Mnemonics: " removed
bs_calctype : "Characteristic: " removed
bs_calctype : "Variable type: " removed
bs_calctype : "Default is " removed
bs_coulomb_term : "Mnemonics: " removed
bs_coulomb_term : "Characteristic: " removed
bs_coulomb_term : "Variable type: " removed
bs_coulomb_term : "Default is " removed
bs_coupling : "Mnemonics: " removed
bs_coupling : "Characteristic: " removed
bs_coupling : "Variable type: " removed
bs_coupling : "Default is " removed
bs_eh_cutoff : "Mnemonics: " removed
bs_eh_cutoff : "Characteristic: " removed
bs_eh_cutoff : "Variable type: " removed
bs_eh_cutoff : "Default is " removed
bs_exchange_term : "Mnemonics: " removed
bs_exchange_term : "Characteristic: " removed
bs_exchange_term : "Variable type: " removed
bs_exchange_term : "Default is " removed
bs_freq_mesh : "Mnemonics: " removed
bs_freq_mesh : "Characteristic: " removed
bs_freq_mesh : "Variable type: " removed
bs_freq_mesh : "Default is " removed
bs_hayd_term : "Mnemonics: " removed
bs_hayd_term : "Characteristic: " removed
bs_hayd_term : "Variable type: " removed
bs_hayd_term : "Default is " removed
bs_haydock_niter : "Mnemonics: " removed
bs_haydock_niter : "Characteristic: " removed
bs_haydock_niter : "Variable type: " removed
bs_haydock_niter : "Default is " removed
bs_haydock_tol : "Mnemonics: " removed
bs_haydock_tol : "Characteristic: " removed
bs_haydock_tol : "Variable type: " removed
bs_haydock_tol : "Default is " removed
bs_interp_kmult : "Mnemonics: " removed
bs_interp_kmult : "Characteristic: " removed
bs_interp_kmult : "Variable type: " removed
bs_interp_kmult : "Default is " removed
bs_interp_mode : "Mnemonics: " removed
bs_interp_mode : "Characteristic: " removed
bs_interp_mode : "Variable type: " removed
bs_interp_mode : "Default is " removed
bs_interp_prep : "Mnemonics: " removed
bs_interp_prep : "Characteristic: " removed
bs_interp_prep : "Variable type: " removed
bs_interp_prep : "Default is " removed
bs_loband : "Mnemonics: " removed
bs_loband : "Characteristic: " removed
bs_loband : "Variable type: " removed
bs_loband : "Default is " removed
bs_nstates : "Mnemonics: " removed
bs_nstates : "Characteristic: " removed
bs_nstates : "Variable type: " removed
bs_nstates : "Default is " removed
builtintest : "Mnemonics: " removed
builtintest : "Characteristic: " removed
builtintest : "Variable type: " removed
builtintest : "Default is " removed
bxctmindg : "Mnemonics: " removed
bxctmindg : "Characteristic: " removed
bxctmindg : "Variable type: " removed
bxctmindg : "Default is " removed
cd_customnimfrqs : "Mnemonics: " removed
cd_customnimfrqs : "Characteristic: " removed
cd_customnimfrqs : "Variable type: " removed
cd_customnimfrqs : "Default is " removed
cd_frqim_method : "Mnemonics: " removed
cd_frqim_method : "Characteristic: " removed
cd_frqim_method : "Variable type: " removed
cd_frqim_method : "Default is " removed
cd_full_grid : "Mnemonics: " removed
cd_full_grid : "Characteristic: " removed
